filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
NNL_1001-0620_run-001_DTIRL_000,4.0,0.02753767725,5.2761082,4.219050749999999,31.16819739341736,0.8655447022102507,-0.4271516668465639,0.02541832475,0.76220703125,1064761.03125,1.5,1.5,1.5,-107.6845703125,98.37646484375,-54.93523025512695,119.0,132.75,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.272254,1700.0,10.352,3000.0,1.000000478667885,0.0,0.00893788611433255,0.0
NNL_1001-0621_run-001_DTILR_000,4.0,0.0259153285,4.83359935,3.7343928,32.17192351818085,0.8485373247082294,-0.3600991792241447,0.02147971375,0.7685546875,825649.8093832433,1.5,1.5,1.4999998807907104,-105.0,85.72509765625,-23.847129821777344,119.5,135.25,101.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.477568,1700.0,10.352,3000.0,1.000000478667885,0.033156606026920624,0.0038058341881827625,0.0
NNL_1001-0621_run-001_DTIRL_000,4.0,0.02646207725,5.4569015,4.3367946,31.018967628479004,0.8473019301250038,-0.38630654912778684,0.024138510250000002,0.76416015625,1006717.701243259,1.5,1.5,1.4999998807907104,-105.0,85.72509765625,-23.847129821777344,127.25,130.25,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.477568,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0026671893768610805,0.0
NNL_1001-0624_run-001_DTILR_000,4.0,0.023554638,4.778394875,3.774661825,30.82511842250824,0.8046653604468197,-0.39750482705794166,0.02039480825,0.7470703125,514922.90625,1.5,1.5,1.5,-103.3203125,91.25244140625,-59.34214019775391,121.0,126.75,97.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.264484,1700.0,10.352,3000.0,1.000000478667885,0.05389161651208661,0.010773927533468826,0.0
NNL_1001-0624_run-001_DTIRL_000,4.0,0.024525743250000002,4.92651955,3.87478,31.694288849830627,0.8659738985810221,-0.3994481737931992,0.0229349095,0.77001953125,798086.25,1.5,1.5,1.5,-103.3203125,91.25244140625,-59.34214019775391,122.0,125.5,98.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.264484,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0035801727870809733,0.0
NNL_1001-0625_run-001_DTILR_000,4.0,0.030519395499999998,5.096629324999999,3.963916525,32.87710905075073,0.8511760265883028,-0.33784951610231706,0.022449814,0.7509765625,770655.09375,1.5,1.5,1.5,-107.0025634765625,83.5,-59.22653198242188,117.25,129.75,99.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.348357,1700.0,10.352,3000.0,1.000000478667885,0.24521083146994752,0.004905725080202787,0.0
NNL_1001-0625_run-001_DTIRL_000,4.0,0.0317585065,5.126762875,3.998582025,31.456910967826843,0.8323692800451288,-0.3340008035342516,0.024506266999999998,0.71875,897032.8125,1.5,1.5,1.5,-107.0025634765625,83.5,-59.22653198242188,115.75,133.75,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.348357,1700.0,10.352,3000.0,1.000000478667885,0.2959181587786007,0.003546629118335598,0.0
NNL_1001-0626_run-001_DTILR_000,4.0,0.0220354695,4.694193375,3.7060984,34.66647744178772,0.8690987000074343,-0.32610193282116157,0.017320772249999998,0.7587890625,235699.875,1.5,1.5,1.5,-105.5,80.4007568359375,-74.15072631835938,119.75,134.0,95.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.303057,1700.0,10.352,3000.0,1.000000478667885,0.05358591657513518,0.010606293655197909,0.0
NNL_1001-0626_run-001_DTIRL_000,4.0,0.0189877335,4.87025915,3.8419255,35.09891629219055,0.8820390277253816,-0.329603232714625,0.01877429,0.77001953125,244701.0,1.5,1.5,1.5,-105.5,80.4007568359375,-74.15072631835938,116.0,124.5,94.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.303057,1700.0,10.352,3000.0,1.000000478667885,0.025211308806020728,0.00962345707794893,0.0
NNL_1001-0627_run-001_DTILR_000,4.0,0.029857569,5.09806775,4.011828175,29.523805975914,0.8117132094001399,-0.4120608004606632,0.0232571025,0.7412109375,989918.71875,1.5,1.5,1.5,-105.0,84.4039306640625,-32.0522575378418,120.0,138.5,102.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.392063,1700.0,10.352,3000.0,1.000000478667885,0.0,0.008462115432205628,0.0
