,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
328,NNL_1001-0675_run-001_T2Flair_000,3,0.024112836,4.3893094,3.5465946,21.94153070449829,0.6622553113977367,-0.6651558392380522,0.028302746,0.728515625,2215990.0,1.0,1.0,1.0,98.76656341552734,83.6163330078125,-128.183349609375,208,240,231,1,0,T2Flair,,Siemens,Prisma_fit,3,0.166105,850,,,,0.4377985818003582,0.3200926651586064,1.0
329,NNL_1001-0676_run-001_T2Flair_000,3,0.019936856,4.550763,3.8295312,15.745704174041748,0.3514787988787485,-0.6563472906885728,0.021668317,0.71875,1464368.0,1.0,1.0,1.0,103.5,96.23043823242188,-116.8449249267578,166,216,232,1,0,T2Flair,,Siemens,Prisma_fit,3,0.104769,850,,,,0.0,0.003295517005082473,0.0
330,NNL_1001-0677_run-001_T2Flair_000,3,0.022003667,5.058904,4.4786797,19.705251455307007,0.5448748364772665,-0.6428514371320658,0.017283665,0.76953125,2053297.0,1.0,1.0,1.0,109.3409423828125,93.99348449707033,-112.81486511230467,208,228,235,1,0,T2Flair,,Siemens,Prisma_fit,3,0.121217,850,,,,0.09560725154973082,0.12194317868022304,1.0
331,NNL_1001-0678_run-001_T2Flair_000,3,0.033485938,6.4019766,5.8283844,15.48657774925232,0.5127349717261304,-0.7605733716437161,0.031026533,0.716796875,3342924.0,1.0,1.0,1.0,100.0518035888672,105.6510009765625,-100.27645874023438,202,229,213,1,0,T2Flair,,Siemens,Prisma_fit,3,0.145872,850,,,,0.422545822223661,0.5190336806831731,1.0
332,NNL_1001-0679_run-001_T2Flair_000,3,0.019247346,4.9117827,4.1665955,25.955514907836918,0.7947690840097,-0.659609713430139,0.020966468,0.6875,1687887.0,1.0,1.0,1.0,103.5,91.39886474609376,-125.09971618652344,208,225,242,1,0,T2Flair,,Siemens,Prisma_fit,3,0.164968,850,,,,0.03529141189826744,0.01072901283922076,0.0
333,NNL_1001-0680_run-001_T2Flair_000,3,0.018304702,4.5811806,3.8774164,18.50526213645935,0.4633516609386027,-0.6437797674795098,0.017394576,0.744140625,1366566.0,1.0,1.0,1.0,101.46610260009766,111.9566879272461,-130.21405029296875,178,205,217,1,0,T2Flair,,Siemens,Prisma_fit,3,0.104216,850,,,,0.0,0.023079749122307897,0.0
334,NNL_1001-0681_run-001_T2Flair_000,3,0.016097259,4.096318,3.3235102,17.304993867874146,0.3499689371482475,-0.609425714056373,0.018928692,0.76953125,1039577.0,1.0,1.0,1.0,102.66558074951172,100.92843627929688,-145.95059204101562,174,221,211,1,0,T2Flair,,Siemens,Prisma_fit,3,0.0956033,850,,,,0.0,0.007837683245967664,0.0
335,NNL_1001-0682_run-001_T2Flair_000,3,0.024679188,5.0902,4.426385,23.599038124084476,0.7388285983830128,-0.6535826168347071,0.02343269,0.765625,2090635.0,1.0,1.0,1.0,100.11897277832033,90.54743957519533,-112.63064575195312,208,224,232,1,0,T2Flair,,Siemens,Prisma_fit,3,0.121394,850,,,,0.2258709746843374,0.16645863566806499,1.0
336,NNL_1001-0683_run-001_T2Flair_000,3,0.016232539,3.751466,2.9486213,18.953123092651367,0.3917176475873098,-0.5763479586668546,0.014312507,0.771484375,926672.0,1.0,1.0,1.0,106.9255142211914,82.72882080078125,-127.0,208,240,231,1,0,T2Flair,,Siemens,Prisma_fit,3,0.117986,850,,,,0.07975536273135482,0.003018564060931579,0.0
337,NNL_1001-0685_run-001_T2Flair_000,3,0.014848635,3.557079,2.7266233,17.189085483551025,0.322855896238872,-0.5638103708436407,0.01645491,0.75390625,867486.0,1.0,1.0,1.0,103.5,97.18917846679688,-125.12794494628906,193,240,214,1,0,T2Flair,,Siemens,Prisma_fit,3,0.127087,850,,,,0.0,0.03397056535891405,0.0
338,NNL_1001-0686_run-001_T2Flair_000,3,0.012449741,4.513697,3.688036,23.60125303268433,0.5571335403855748,-0.4976071792049699,0.01466282,0.689453125,232941.0,1.0,1.0,1.0,101.46610260009766,92.53768920898438,-129.89938354492188,208,206,229,1,0,T2Flair,,Siemens,Prisma_fit,3,0.135231,850,,,,0.40234173596580425,0.0053460719570569085,0.0
339,NNL_1001-0687_run-001_T2Flair_000,3,0.016948681,3.6841123,2.8816645,19.948030710220337,0.4502514719077644,-0.5602734167829199,0.019241842,0.77734375,880779.0,1.0,1.0,1.0,99.75411224365234,86.195556640625,-106.71279907226562,166,240,235,1,0,T2Flair,,Siemens,Prisma_fit,3,0.159672,850,,,,0.18033984059987956,0.0317361703599121,0.0
340,NNL_1001-0688_run-001_T2Flair_000,3,0.017712552,4.2837353,3.6000135,15.876208543777466,0.285290968096549,-0.5853745466084196,0.017813588,0.7734375,1201683.0,1.0,1.0,1.0,100.21166229248048,107.3710479736328,-136.92996215820312,198,221,222,1,0,T2Flair,,Siemens,Prisma_fit,3,0.118076,850,,,,0.0,0.006333860740749764,0.0
341,NNL_1001-0689_run-001_T2Flair_000,3,0.01756742,4.191695,3.4009562,20.118680000305176,0.4867003633984124,-0.5914246458387286,0.02202007,0.74609375,1247935.0,1.0,1.0,1.0,106.88983154296876,99.67796325683594,-127.0264129638672,194,231,209,1,0,T2Flair,,Siemens,Prisma_fit,3,0.129649,850,,,,0.2023527861177705,0.036086760915053466,0.0
342,NNL_1001-0690_run-001_T2Flair_000,3,0.039485246,11.212517,10.637129,14.93291974067688,0.5513989322221169,-0.751301293143664,0.036898963,0.677734375,3207307.0,1.0,1.0,1.0,103.5,99.0,-116.50245666503906,187,232,206,1,0,T2Flair,,Siemens,Prisma_fit,3,0.0970363,850,,,,0.9969010303530018,0.5087222774730701,1.0
343,NNL_1001-0691_run-001_T2Flair_000,3,0.01758038,4.060909,3.1897995,22.87156820297241,0.5725484480639258,-0.5456019376017704,0.015866045,0.759765625,969010.0,1.0,1.0,1.0,103.5,87.79335021972656,-139.9307403564453,208,238,238,1,0,T2Flair,,Siemens,Prisma_fit,3,0.153688,850,,,,0.0,0.005685025194419756,0.0
344,NNL_1001-0692_run-001_T2Flair_000,3,0.01375812,3.4806814,2.6190014,16.297690868377686,0.275553792071656,-0.5774387465000904,0.017421594,0.767578125,489154.0,1.0,1.0,1.0,104.25242614746094,98.1602020263672,-109.37869262695312,198,197,210,1,0,T2Flair,,Siemens,Prisma_fit,3,0.164525,850,,,,0.0,0.02440489146704866,0.0
345,NNL_1001-0693_run-001_T2Flair_000,3,0.021673257,5.2798357,4.6020927,24.974963665008545,0.7896816450296916,-0.6756864189940998,0.021033294,0.70703125,1966001.0,1.0,1.0,1.0,103.5,101.06617736816406,-110.47053527832033,208,216,234,1,0,T2Flair,,Siemens,Prisma_fit,3,0.131471,850,,,,0.0,0.015957708094360954,0.0
346,NNL_1001-0694_run-001_T2Flair_000,3,0.021307968,4.659869,3.8975587,19.38906192779541,0.5065448732861592,-0.6469556758401155,0.019125002,0.755859375,1930145.0,1.0,1.0,1.0,101.75276184082033,94.63189697265624,-121.75827026367188,202,237,245,1,0,T2Flair,,Siemens,Prisma_fit,3,0.115032,850,,,,0.0,0.004352978958855284,0.0
347,NNL_1001-0695_run-001_T2Flair_000,3,0.016536914,3.958225,3.2002513,19.78384017944336,0.4333368220935335,-0.5531063390403306,0.01763959,0.755859375,1070267.0,1.0,1.0,1.0,103.5,95.45797729492188,-94.23625183105467,196,240,243,1,0,T2Flair,,Siemens,Prisma_fit,3,0.138835,850,,,,0.0,0.009775963543244684,0.0
348,NNL_1001-0696_run-001_T2Flair_000,3,0.019631408,5.5689683,4.9606147,16.62664294242859,0.3658382822314889,-0.6054224255512397,0.018770924,0.77734375,1673386.0,1.0,1.0,1.0,100.7881317138672,94.2200927734375,-113.76258850097656,208,232,236,1,0,T2Flair,,Siemens,Prisma_fit,3,0.110473,850,,,,0.26386639643962495,0.008293914549843353,0.0
